m.label,n.label,omop_concept_id,complementary
Radiotherapy Treatment Location Value Set,Bone part (body structure),4000496,
Radiotherapy Treatment Location Value Set,Structure of retrostyloid space (body structure),37152601,
Radiotherapy Treatment Location Value Set,Bone structure of thirteenth rib (body structure),37152603,
Radiotherapy Treatment Location Value Set,Internal jugular vein structure (body structure),4006845,
Radiotherapy Treatment Location Value Set,Structure of subscapular axillary lymph node (body structure),4005669,
Radiotherapy Treatment Location Value Set,Body structure (body structure),4048384,
Radiotherapy Treatment Location Value Set,Anus part (body structure),4048839,
Radiotherapy Treatment Location Value Set,Structure of coronoid process of mandible (body structure),4050475,
Radiotherapy Treatment Location Value Set,Scar (morphologic abnormality),4050007,
Radiotherapy Treatment Location Value Set,Brain structure (body structure),4133034,
Radiotherapy Treatment Location Value Set,Lymph node of aortopulmonary window (body structure),4027263,
Radiotherapy Treatment Location Value Set,Elbow region structure (body structure),4027910,
Radiotherapy Treatment Location Value Set,Structure of conjunctiva of right eye (body structure),4045246,
Radiotherapy Treatment Location Value Set,Tendon structure (body structure),4045430,
Radiotherapy Treatment Location Value Set,Glottis structure (body structure),4047227,
Radiotherapy Treatment Location Value Set,Lacrimal gland structure (body structure),4028662,
Radiotherapy Treatment Location Value Set,Urethral structure (body structure),4029306,
Radiotherapy Treatment Location Value Set,Zygomatic bone structure (body structure),4029142,
Radiotherapy Treatment Location Value Set,Bone marrow structure (body structure),4029619,
Radiotherapy Treatment Location Value Set,"Cardiac pacemaker, device (physical object)",4030875,
Radiotherapy Treatment Location Value Set,Structure of body of fourth cervical vertebra (body structure),4032317,
Radiotherapy Treatment Location Value Set,Structure of large intestine (body structure),4033554,
Radiotherapy Treatment Location Value Set,Bone structure of atlas (body structure),4033244,
Radiotherapy Treatment Location Value Set,Accessory nerve structure (body structure),4034709,
Radiotherapy Treatment Location Value Set,Structure of suprasellar region (body structure),4035640,
Radiotherapy Treatment Location Value Set,Bone structure of fifth rib (body structure),4035001,
Radiotherapy Treatment Location Value Set,Ovarian structure (body structure),4049448,
Radiotherapy Treatment Location Value Set,Pancreatic structure (body structure),4049768,
Radiotherapy Treatment Location Value Set,Aortic structure (body structure),4049896,
Radiotherapy Treatment Location Value Set,Maxillary sinus structure (body structure),4050631,
Radiotherapy Treatment Location Value Set,Brainstem structure (body structure),4049603,
Radiotherapy Treatment Location Value Set,Structure of apical axillary lymph node (body structure),4050954,
Radiotherapy Treatment Location Value Set,Structure of body of seventh cervical vertebra (body structure),3491191,
Radiotherapy Treatment Location Value Set,Parietal lobe structure (body structure),3512535,
Radiotherapy Treatment Location Value Set,Elbow joint structure (body structure),3489964,
Radiotherapy Treatment Location Value Set,Thoracic duct structure (body structure),4067206,
Radiotherapy Treatment Location Value Set,Cardiac valve structure (body structure),3490461,
Radiotherapy Treatment Location Value Set,Entire tongue (body structure),3513851,
Radiotherapy Treatment Location Value Set,Optic nerve structure (body structure),3508689,
Radiotherapy Treatment Location Value Set,Structure of platysma muscle (body structure),3509786,
Radiotherapy Treatment Location Value Set,Penile structure (body structure),3489126,
Radiotherapy Treatment Location Value Set,Structure of intrapulmonary lymph node (body structure),3490761,
Radiotherapy Treatment Location Value Set,Structure of diaphragmatic lymph node (body structure),3513859,
Radiotherapy Treatment Location Value Set,Structure of innominate lymph node (body structure),3513997,
Radiotherapy Treatment Location Value Set,Scrotal structure (body structure),3513990,
Radiotherapy Treatment Location Value Set,Glossopharyngeal nerve structure (body structure),3501365,
Radiotherapy Treatment Location Value Set,Jejunal structure (body structure),3498058,
Radiotherapy Treatment Location Value Set,Hyoid bone structure (body structure),3506128,
Radiotherapy Treatment Location Value Set,Structure of fifth sacral vertebra (body structure),3483841,
Radiotherapy Treatment Location Value Set,Structure of body of fifth lumbar vertebra (body structure),3488857,
Radiotherapy Treatment Location Value Set,Cardiac ventricular structure (body structure),3504348,
Radiotherapy Treatment Location Value Set,Tongue structure (body structure),3495669,
Radiotherapy Treatment Location Value Set,Bone structure of ilium (body structure),3501451,
Radiotherapy Treatment Location Value Set,Bone structure of ninth rib (body structure),3499977,
Radiotherapy Treatment Location Value Set,Stapes structure (body structure),3491786,
Radiotherapy Treatment Location Value Set,Structure of sternocleidomastoid muscle (body structure),3495923,
Radiotherapy Treatment Location Value Set,Adrenal structure (body structure),3509273,
Radiotherapy Treatment Location Value Set,Hip joint structure (body structure),3503302,
Radiotherapy Treatment Location Value Set,Circumflex humeral artery (body structure),3493039,
Radiotherapy Treatment Location Value Set,Circumflex iliac artery (body structure),3513505,
Radiotherapy Treatment Location Value Set,Structure of optic chiasma (body structure),3486597,
Radiotherapy Treatment Location Value Set,Internal mammary lymph node group (body structure),3501635,
Radiotherapy Treatment Location Value Set,Tracheobronchial lymph node group (body structure),3496853,
Radiotherapy Treatment Location Value Set,Portahepatis lymph node group (body structure),4081785,
Radiotherapy Treatment Location Value Set,Pelvic lymph node group (body structure),3486131,
Radiotherapy Treatment Location Value Set,Common iliac lymph node group (body structure),3482829,
Radiotherapy Treatment Location Value Set,Internal iliac lymph node group (body structure),3514607,
Radiotherapy Treatment Location Value Set,Structure of internal iliac lymph node (body structure),4075274,
Radiotherapy Treatment Location Value Set,Bone structure of seventh rib (body structure),3504031,
Radiotherapy Treatment Location Value Set,Parietal bone structure (body structure),3487712,
Radiotherapy Treatment Location Value Set,Sphenoid sinus structure (body structure),3482071,
Radiotherapy Treatment Location Value Set,Corpus spongiosum structure (body structure),4102072,
Radiotherapy Treatment Location Value Set,Bone structure of fourth rib (body structure),3499483,
Radiotherapy Treatment Location Value Set,Bone structure of third rib (body structure),3500561,
Radiotherapy Treatment Location Value Set,Renal pelvis structure (body structure),3500453,
Radiotherapy Treatment Location Value Set,Vaginal wall (body structure),3491501,
Radiotherapy Treatment Location Value Set,Spinal cord structure (body structure),3514436,
Radiotherapy Treatment Location Value Set,Trigeminal nerve structure (body structure),3499024,
Radiotherapy Treatment Location Value Set,Nasal cavity structure (body structure),3511324,
Radiotherapy Treatment Location Value Set,Inguinofemoral lymph node group (body structure),3513560,
Radiotherapy Treatment Location Value Set,Bronchopulmonary lymph node group (body structure),3514811,
Radiotherapy Treatment Location Value Set,Inferior surface of vaginal cervix (body structure),3483158,
Radiotherapy Treatment Location Value Set,Structure of body of twelfth  thoracic vertebra (body structure),4140244,
Radiotherapy Treatment Location Value Set,Structure of head of femur (body structure),3513833,
Radiotherapy Treatment Location Value Set,Gallbladder structure (body structure),4151384,
Radiotherapy Treatment Location Value Set,Structure of cricopharyngeal part of inferior constrictor pharyngeus muscle (body structure),3501588,
Radiotherapy Treatment Location Value Set,Structure of central axillary lymph node (body structure) |,4152801,
Radiotherapy Treatment Location Value Set,Structure of carina of trachea (body structure),3497723,
Radiotherapy Treatment Location Value Set,Corneal structure (body structure),3502025,
Radiotherapy Treatment Location Value Set,Structure of neck of femur (body structure),3505205,
Radiotherapy Treatment Location Value Set,Structure of small intestine (body structure),4146765,
Radiotherapy Treatment Location Value Set,Occipital lobe structure (body structure),3497764,
Radiotherapy Treatment Location Value Set,Structure of lobe of lung (body structure),3487684,
Radiotherapy Treatment Location Value Set,Oropharyngeal structure (body structure),3504467,
Radiotherapy Treatment Location Value Set,Occipital bone structure (body structure),3505359,
Radiotherapy Treatment Location Value Set,Structure of body of sixth thoracic vertebra (body structure),3503925,
Radiotherapy Treatment Location Value Set,Descending colon structure (body structure),3507735,
Radiotherapy Treatment Location Value Set,Cecum structure (body structure),4139602,
Radiotherapy Treatment Location Value Set,Portal vein structure (body structure),3501745,
Radiotherapy Treatment Location Value Set,Esophageal structure (body structure),4140098,
Radiotherapy Treatment Location Value Set,Structure of body of ninth thoracic vertebra (body structure),3510456,
Radiotherapy Treatment Location Value Set,Structure of lateral axillary lymph node (body structure),3495612,
Radiotherapy Treatment Location Value Set,Structure of anterior descending branch of left coronary artery (body structure),3494327,
Radiotherapy Treatment Location Value Set,Malleus structure (body structure),3508973,
Radiotherapy Treatment Location Value Set,Aortic valve structure (body structure),3485609,
Radiotherapy Treatment Location Value Set,Anal canal structure (body structure),3507323,
Radiotherapy Treatment Location Value Set,Rectum structure (body structure),3495829,
Radiotherapy Treatment Location Value Set,Ileal structure (body structure),3507164,
Radiotherapy Treatment Location Value Set,Uterine structure (body structure),3504784,
Radiotherapy Treatment Location Value Set,Structure of hilum of spleen (body structure),3486207,
Radiotherapy Treatment Location Value Set,Vena caval structure (body structure),3495648,
Radiotherapy Treatment Location Value Set,Structure of body of vertebra (body structure),3487408,
Radiotherapy Treatment Location Value Set,Structure of posterior fossa of cranial cavity (body structure),3505293,
Radiotherapy Treatment Location Value Set,Bone structure of thoracic vertebra (body structure),3482069,
Radiotherapy Treatment Location Value Set,Structure of aortic lymph node (body structure),3505779,
Radiotherapy Treatment Location Value Set,Structure of obturator lymph node (body structure),3492697,
Radiotherapy Treatment Location Value Set,Structure of orbit proper (body structure),3504350,
Radiotherapy Treatment Location Value Set,Brachial plexus structure (body structure),3486233,
Radiotherapy Treatment Location Value Set,Structure of cribriform plate (body structure),3495943,
Radiotherapy Treatment Location Value Set,Structure of subclavian artery (body structure),3512772,
Radiotherapy Treatment Location Value Set,Structure of paramammary lymph node (body structure),3497821,
Radiotherapy Treatment Location Value Set,Structure of cisterna pontis (body structure),3509290,
Radiotherapy Treatment Location Value Set,Structure of great blood vessel (organ) (body structure),4290464,
Radiotherapy Treatment Location Value Set,Cerebral hemisphere structure (body structure),3497736,
Radiotherapy Treatment Location Value Set,Spinal dura mater structure (body structure),3487048,
Radiotherapy Treatment Location Value Set,Bone structure of acetabulum (body structure),3487538,
Radiotherapy Treatment Location Value Set,Hypoglossal nerve structure (body structure),3494834,
Radiotherapy Treatment Location Value Set,Entire body as a whole (body structure) |,4242541,
Radiotherapy Treatment Location Value Set,Submandibular salivary gland structure (body structure),3483681,
Radiotherapy Treatment Location Value Set,Duodenal structure (body structure),3509684,
Radiotherapy Treatment Location Value Set,Perineal structure (body structure),3512149,
Radiotherapy Treatment Location Value Set,Pulmonary valve structure (body structure),3501265,
Radiotherapy Treatment Location Value Set,Structure of wall of urinary bladder (body structure),3494825,
Radiotherapy Treatment Location Value Set,Joint structure (body structure),3166153,
Radiotherapy Treatment Location Value Set,Lung structure (body structure),3504197,
Radiotherapy Treatment Location Value Set,Skin structure (body structure),3487158,
Radiotherapy Treatment Location Value Set,Bone structure of axis (body structure),4219433,
Radiotherapy Treatment Location Value Set,Structure of internal iliac vein (body structure),3482748,
Radiotherapy Treatment Location Value Set,Testis structure (body structure),3492154,
Radiotherapy Treatment Location Value Set,Nerve root structure (body structure),3510893,
Radiotherapy Treatment Location Value Set,Bone structure of shaft of femur (body structure),3509676,
Radiotherapy Treatment Location Value Set,Structure of sphincter ani muscle (body structure),3491650,
Radiotherapy Treatment Location Value Set,Prostatic structure (body structure),3499028,
Radiotherapy Treatment Location Value Set,Scalp structure (body structure),3499486,
Radiotherapy Treatment Location Value Set,Coronary artery structure (body structure),3491693,
Radiotherapy Treatment Location Value Set,Bone structure of incus (body structure),3496480,
Radiotherapy Treatment Location Value Set,Superior mesenteric artery structure (body structure),3514562,
Radiotherapy Treatment Location Value Set,Branch of brachiocephalic artery (body structure),3509736,
Radiotherapy Treatment Location Value Set,Structure of pulmonary vein great vessel (body structure),3493557,
Radiotherapy Treatment Location Value Set,Vaginal cuff (morphologic abnormality),3465483,
Radiotherapy Treatment Location Value Set,Bone structure of twelfth rib (body structure),3505934,
Radiotherapy Treatment Location Value Set,Tracheal structure (body structure),3491374,
Radiotherapy Treatment Location Value Set,Nasal structure (body structure),3504053,
Radiotherapy Treatment Location Value Set,Parotid gland structure (body structure),3509185,
Radiotherapy Treatment Location Value Set,Vulval structure (body structure),4166066,
Radiotherapy Treatment Location Value Set,Structure of parametrium (body structure),3497883,
Radiotherapy Treatment Location Value Set,Pineal structure (body structure),4164136,
Radiotherapy Treatment Location Value Set,Laryngeal structure (body structure),3485495,
Radiotherapy Treatment Location Value Set,Structure of common iliac vein (body structure),3508856,
Radiotherapy Treatment Location Value Set,Tricuspid valve structure (body structure),4263592,
Radiotherapy Treatment Location Value Set,Vocal cord structure (body structure),3482935,
Radiotherapy Treatment Location Value Set,Nasal turbinate structure (body structure),3492699,
Radiotherapy Treatment Location Value Set,Structure of root of tongue (body structure),4169910,
Radiotherapy Treatment Location Value Set,Skin structure of perineum (body structure),3482908,
Radiotherapy Treatment Location Value Set,Structure of body of tenth thoracic vertebra (body structure),3497662,
Radiotherapy Treatment Location Value Set,Transverse colon structure (body structure),3504280,
Radiotherapy Treatment Location Value Set,Bone structure of first rib (body structure),3496259,
Radiotherapy Treatment Location Value Set,Constrictor muscle of pharynx structure (body structure),3489860,
Radiotherapy Treatment Location Value Set,Soft palate structure (body structure),3488723,
Radiotherapy Treatment Location Value Set,Pontine structure (body structure),3489278,
Radiotherapy Treatment Location Value Set,Structure of third sacral vertebra (body structure),3502910,
Radiotherapy Treatment Location Value Set,Structure of body of secon thoracic vertebra (body structure),4178873,
Radiotherapy Treatment Location Value Set,Structure of cortex of kidney (body structure),3511841,
Radiotherapy Treatment Location Value Set,Thoracic spinal cord structure (body structure),3510494,
Radiotherapy Treatment Location Value Set,Rectum wall structure (body structure),37304060,
Radiotherapy Treatment Location Value Set,Palatine bone structure (body structure),3501505,
Radiotherapy Treatment Location Value Set,Bone structure of clavicle (body structure),3490823,
Radiotherapy Treatment Location Value Set,Structure of body of eleventh thoracic vertebra (body structure),3488155,
Radiotherapy Treatment Location Value Set,Ethmoid bone structure (body structure),3510651,
Radiotherapy Treatment Location Value Set,Digastric muscle structure (body structure),3494604,
Radiotherapy Treatment Location Value Set,Structure of bulb of penis (body structure),3483047,
Radiotherapy Treatment Location Value Set,Structure of temporalis muscle (body structure),3505701,
Radiotherapy Treatment Location Value Set,Thyroid cartilage structure (body structure),3494528,
Radiotherapy Treatment Location Value Set,Temporomandibular joint structure (body structure),3491256,
Radiotherapy Treatment Location Value Set,Hippocampal structure (body structure),3493876,
Radiotherapy Treatment Location Value Set,Structure of body of second lumbar vertebra (body structure),3490771,
Radiotherapy Treatment Location Value Set,Pharyngeal structure (body structure),3493702,
Radiotherapy Treatment Location Value Set,Ethmoid sinus structure (body structure),3504514,
Radiotherapy Treatment Location Value Set,Ascending aorta structure (body Structure),3509116,
Radiotherapy Treatment Location Value Set,Cervical spinal cord structure (body structure),3488477,
Radiotherapy Treatment Location Value Set,Frontal sinus structure (body structure),3502359,
Radiotherapy Treatment Location Value Set,Structure of body of third lumbar vertebra (body structure),3486465,
Radiotherapy Treatment Location Value Set,Structure of superior hypophyseal artery (body structure),3489245,
Radiotherapy Treatment Location Value Set,Facial nerve structure (body structure),3487193,
Radiotherapy Treatment Location Value Set,Structure of body of first thoracic vertebra (body structure),3514341,
Radiotherapy Treatment Location Value Set,Oculomotor nerve structure (body structure),3507457,
Radiotherapy Treatment Location Value Set,Pituitary structure (body structure),3489771,
Radiotherapy Treatment Location Value Set,Retinal structure (body structure),3484780,
Radiotherapy Treatment Location Value Set,Structure of celiac artery (body structure),4239981,
Radiotherapy Treatment Location Value Set,Diaphragm structure (body structure),3199572,
Radiotherapy Treatment Location Value Set,Bone structure of eleventh rib (body structure),3503321,
Radiotherapy Treatment Location Value Set,Mastoid structure (body structure),4240970,
Radiotherapy Treatment Location Value Set,Structure of lymph node (body structure),3515004,
Radiotherapy Treatment Location Value Set,Bone structure of eighth rib (body structure),3514186,
Radiotherapy Treatment Location Value Set,Bone structure of sixth rib (body structure),3504491,
Radiotherapy Treatment Location Value Set,Atrial structure (body structure),3513525,
Radiotherapy Treatment Location Value Set,Lumbar spinal cord structure (body structure),3511909,
Radiotherapy Treatment Location Value Set,Cervical esophagus structure (body structure),4244559,
Radiotherapy Treatment Location Value Set,Sigmoid colon structure (body structure),3508909,
Radiotherapy Treatment Location Value Set,Temporal bone structure (body structure),3506914,
Radiotherapy Treatment Location Value Set,Structure of body of first lumbar vertebra (body structure),3513076,
Radiotherapy Treatment Location Value Set,Structure of body of fifth thoracic vertebra (body structure),3496912,
Radiotherapy Treatment Location Value Set,Structure of body of tongue (body structure),4247638,
Radiotherapy Treatment Location Value Set,Spinal canal structure (body structure),3506490,
Radiotherapy Treatment Location Value Set,Lacrimal bone structure (body structure),3499672,
Radiotherapy Treatment Location Value Set,Sacral plexus structure (body structure),3501857,
Radiotherapy Treatment Location Value Set,Bone structure of radius (body structure),3496650,
Radiotherapy Treatment Location Value Set,Mediastinal lymph node structure (body structure),3496904,
Radiotherapy Treatment Location Value Set,Structure of jugular vein (body structure),3509672,
Radiotherapy Treatment Location Value Set,Structure of external iliac vein (body structure),3506347,
Radiotherapy Treatment Location Value Set,Kidney structure (body structure),3510760,
Radiotherapy Treatment Location Value Set,Intercostal lymph node (body structure),3484519,
Radiotherapy Treatment Location Value Set,Structure of head of pancreas (body structure),3482154,
Radiotherapy Treatment Location Value Set,Seminal vesicle structure (body structure),3508931,
Radiotherapy Treatment Location Value Set,Structure of external iliac lymph node (body structure),3488743,
Radiotherapy Treatment Location Value Set,Structure of gastrohepatic ligament (body structure),3493565,
Radiotherapy Treatment Location Value Set,Cerebellar hemisphere structure (body structure),3513996,
Radiotherapy Treatment Location Value Set,Structure of first sacral vertebra (body structure),3486403,
Radiotherapy Treatment Location Value Set,Appendix structure (body structure),3498039,
Radiotherapy Treatment Location Value Set,Structure of condyloid process of mandible (body structure),3498971,
Radiotherapy Treatment Location Value Set,Structure of body of fifth cervical vertebra (body structure),3502215,
Radiotherapy Treatment Location Value Set,Structure of conjunctiva of left eye (body structure),3512000,
Radiotherapy Treatment Location Value Set,Hypothalamic structure (body structure),3489745,
Radiotherapy Treatment Location Value Set,Axillary lymph node structure (body structure),3498484,
Radiotherapy Treatment Location Value Set,Carotid artery structure (body structure),3507528,
Radiotherapy Treatment Location Value Set,Structure of pectoral axillary lymph node (body structure),3493082,
Radiotherapy Treatment Location Value Set,Stomach structure (body structure),3199297,
Radiotherapy Treatment Location Value Set,Thyroid structure (body structure),3499594,
Radiotherapy Treatment Location Value Set,Structure of fourth sacral vertebra (body structure),3514884,
Radiotherapy Treatment Location Value Set,Structure of quadriceps tendon (body structure),3491589,
Radiotherapy Treatment Location Value Set,Bone structure of maxilla (body structure),3498182,
Radiotherapy Treatment Location Value Set,Structure of epiphyseal plate (body structure),3507921,
Radiotherapy Treatment Location Value Set,Cervix uteri structure (body structure),4325271,
Radiotherapy Treatment Location Value Set,Bone structure of femur (body structure),3482531,
Radiotherapy Treatment Location Value Set,Prostatic urethra structure (body structure),4323817,
Radiotherapy Treatment Location Value Set,Structure of external jugular vein (body structure),3512519,
Radiotherapy Treatment Location Value Set,Skeletal and/or smooth muscle structure (body structure),3483506,
Radiotherapy Treatment Location Value Set,Cauda equina structure (body structure),3482228,
Radiotherapy Treatment Location Value Set,Structure of body of seventh thoracic vertebra (body structure),3489093,
Radiotherapy Treatment Location Value Set,Nasopharyngeal structure (body structure),3500154,
Radiotherapy Treatment Location Value Set,Colon structure (body structure),3200150,
Radiotherapy Treatment Location Value Set,Genital structure (body structure),3484937,
Radiotherapy Treatment Location Value Set,Structure of body of fourth lumbar vertebra (body structure),3498343,
Radiotherapy Treatment Location Value Set,Structure of azygous vein (body structure),3487855,
Radiotherapy Treatment Location Value Set,Mediastinal structure (body structure),4216544,
Radiotherapy Treatment Location Value Set,Knee region structure (body structure),3491349,
Radiotherapy Treatment Location Value Set,Sphenoid bone structure (body structure),3483149,
Radiotherapy Treatment Location Value Set,Structure of body of third thoracic vertebra (body structure),3495635,
Radiotherapy Treatment Location Value Set,Structure of tail of pancreas (body structure),3491732,
Radiotherapy Treatment Location Value Set,Common iliac artery structure (body structure),3484978,
Radiotherapy Treatment Location Value Set,Bone structure of lumbar vertebra (body structure),3505347,
Radiotherapy Treatment Location Value Set,Structure of hilum of kidney (body structure),3485701,
Radiotherapy Treatment Location Value Set,Structure of inferior hypophyseal artery (body structure),3514242,
Radiotherapy Treatment Location Value Set,Oral cavity structure (body structure),3512983,
Radiotherapy Treatment Location Value Set,Nasal bone structure (body structure),3505884,
Radiotherapy Treatment Location Value Set,Frontal bone structure (body structure),3514597,
Radiotherapy Treatment Location Value Set,Skin structure of anterior abdominal wall (body structure),4244412,
Radiotherapy Treatment Location Value Set,Structure of red bone marrow (body structure),3507245,
Radiotherapy Treatment Location Value Set,Structure of suprapatellar bursa (body structure),3497886,
Radiotherapy Treatment Location Value Set,Tonsillar structure (palatine) (body structure),3512709,
Radiotherapy Treatment Location Value Set,Structure of femoral artery (body structure),3500238,
Radiotherapy Treatment Location Value Set,Structure of pterygoid muscle (body structure),3485901,
Radiotherapy Treatment Location Value Set,Breast structure (body structure),3166767,
Radiotherapy Treatment Location Value Set,Vaginal structure (body structure),3508874,
Radiotherapy Treatment Location Value Set,Structure of supraclavicular lymph node (body structure),3501339,
Radiotherapy Treatment Location Value Set,Pericardial structure (body structure),3509386,
Radiotherapy Treatment Location Value Set,Structure of body of eighth thoracic vertebra (body structure),3490129,
Radiotherapy Treatment Location Value Set,Arytenoid cartilage structure (body structure),3484823,
Radiotherapy Treatment Location Value Set,Bone structure of tenth rib (body structure),3510026,
Radiotherapy Treatment Location Value Set,Structure of lens of eye (body structure),3494896,
Radiotherapy Treatment Location Value Set,Bone structure of second rib (body structure),3484147,
Radiotherapy Treatment Location Value Set,Temporal lobe structure (body structure),3489385,
Radiotherapy Treatment Location Value Set,Chest wall structure (body structure),3490466,
Radiotherapy Treatment Location Value Set,Structure of retropharyngeal space (body structure),37303904,
Radiotherapy Treatment Location Value Set,Splenic structure (body structure),3493656,
Radiotherapy Treatment Location Value Set,Masseter muscle structure (body structure),3500908,
Radiotherapy Treatment Location Value Set,Bone structure of scapula (body structure),3499512,
Radiotherapy Treatment Location Value Set,Common bile duct structure (body structure),3484402,
Radiotherapy Treatment Location Value Set,Cochlear structure (body structure),3496820,
Radiotherapy Treatment Location Value Set,Abducens nerve structure (body structure),3487552,
Radiotherapy Treatment Location Value Set,Heart structure (body structure),4217142,
Radiotherapy Treatment Location Value Set,Pulmonary artery structure (body structure),3493407,
Radiotherapy Treatment Location Value Set,Both lips (body structure),3507492,
Radiotherapy Treatment Location Value Set,Cervical lymph node structure (body structure),3514705,
Radiotherapy Treatment Location Value Set,Hypopharyngeal structure (body structure),3505412,
Radiotherapy Treatment Location Value Set,Structure of eye proper (body structure),3509953,
Radiotherapy Treatment Location Value Set,Structure of parasternal lymph node (body structure),3496318,
Radiotherapy Treatment Location Value Set,Symphysis pubis structure (body structure),3506049,
Radiotherapy Treatment Location Value Set,Frontal lobe structure (body structure),3483092,
Radiotherapy Treatment Location Value Set,Structure of cerebrum (body structure),4308580,
Radiotherapy Treatment Location Value Set,Structure of iliac lymph node (body structure),3495398,
Radiotherapy Treatment Location Value Set,Peripheral nerve structure (body structure),3501866,
Radiotherapy Treatment Location Value Set,Structure of medial pterygoid muscle (body structure),3495006,
Radiotherapy Treatment Location Value Set,Bone structure of humerus (body structure),3483668,
Radiotherapy Treatment Location Value Set,Structure of vertebral artery (body structure),3492919,
Radiotherapy Treatment Location Value Set,Glenohumeral joint structure (body structure),3505829,
Radiotherapy Treatment Location Value Set,Bone structure of ischium (body structure),3489829,
Radiotherapy Treatment Location Value Set,Vestibulocochlear nerve structure (body structure),3507412,
Radiotherapy Treatment Location Value Set,Cricoid cartilage structure (body structure),3503141,
Radiotherapy Treatment Location Value Set,Structure of body of fourth thoracic vertebra (body structure),3507344,
Radiotherapy Treatment Location Value Set,Structure of supraglottic space (body structure),3496562,
Radiotherapy Treatment Location Value Set,Sacral vertebra structure (body structure),4314430,
Radiotherapy Treatment Location Value Set,Vomer bone structure (body structure),4314536,
Radiotherapy Treatment Location Value Set,Bone structure of fibula (body structure),4337676,
Radiotherapy Treatment Location Value Set,Ureteric structure (body structure),4337115,
Radiotherapy Treatment Location Value Set,Structure of body of sixth cervical vertebra (body structure),4339538,
Radiotherapy Treatment Location Value Set,Sublingual gland structure (body structure),4229131,
Radiotherapy Treatment Location Value Set,Structure of brachiocephalic vein (body structure),4229590,
Radiotherapy Treatment Location Value Set,Structure of lateral pterygoid muscle (body structure),4230782,
Radiotherapy Treatment Location Value Set,Airway structure (body structure),4230487,
Radiotherapy Treatment Location Value Set,Bone structure of cranium (body structure),4230029,
Radiotherapy Treatment Location Value Set,Urinary bladder structure (body structure),4232481,
Radiotherapy Treatment Location Value Set,Space of ventricular system of brain (body structure),4150288,
Radiotherapy Treatment Location Value Set,Structure of internal iliac artery (body structure),4233369,
Radiotherapy Treatment Location Value Set,Hard palate structure (body structure),4234542,
Radiotherapy Treatment Location Value Set,Ascending colon structure (body structure),4234702,
Radiotherapy Treatment Location Value Set,Structure of body of third cervical vertebra (body structure),4237825,
Radiotherapy Treatment Location Value Set,Mitral valve structure (body structure),4237831,
Radiotherapy Treatment Location Value Set,Bone structure of mandible (body structure),4240393,
Radiotherapy Treatment Location Value Set,Corpus cavernosum structure (body structure),,
Radiotherapy Treatment Location Value Set,Structure of subclavian vein (body structure),4311330,
Radiotherapy Treatment Location Value Set,Bronchial structure (body structure),4317407,
Radiotherapy Treatment Location Value Set,Thymus gland structure (body structure),4321259,
Radiotherapy Volume Type Value Set,Irradiated volume of organ at risk (observable entity),37151853,
Radiotherapy Volume Type Value Set,Internal target volume (observable entity),37157180,
Radiotherapy Volume Type Value Set,Internal gross tumor volume (observable entity),37157181,
Radiotherapy Volume Type Value Set,Gross tumor volume (observable entity),4040591,
Radiotherapy Volume Type Value Set,Clinical target volume (observable entity),4036401,
Radiotherapy Volume Type Value Set,Planning target volume (observable entity),4036402,
Secondary Cancer Disorder Value Set,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM OF LYMPH NODES,,Y
Secondary Cancer Disorder Value Set,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",35206319,
Secondary Cancer Disorder Value Set,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,35206320,
Secondary Cancer Disorder Value Set,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,35206321,
Secondary Cancer Disorder Value Set,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,35206322,
Secondary Cancer Disorder Value Set,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,35206323,
Secondary Cancer Disorder Value Set,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,35206324,
Secondary Cancer Disorder Value Set,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,35206325,
Secondary Cancer Disorder Value Set,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",35206326,
Secondary Cancer Disorder Value Set,SECONDARY MALIGNANT NEOPLASM OF RESPIRATORY AND DIGESTIVE ORGANS,,Y
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of lung,37606014,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of unspecified lung,45586027,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of right lung,45537840,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of left lung,45552281,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of mediastinum,37605874,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of pleura,37606666,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of other and unspecified respiratory organs,37612414,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of unspecified respiratory organ,45542628,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of other respiratory organs,45557015,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of small intestine,37611738,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of large intestine and rectum,37611739,
Secondary Cancer Disorder Value Set,Secondary malignant neoplasm of retroperitoneum and peritoneum,37608109,
